counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
2250,499,-780,-6681,492,499,-26,0.000427,-0.000122,-1.370061,0.154053,0.135742,-0.012207,-3.328125,3.207031,-0.968750,5250,-188,-2124,-170,7723,7695,8230,8056,0.000000,0.000000,0.000000,-0.383789
2251,-3545,-490,-7208,871,-638,-361,0.000916,-0.000366,-1.370241,0.246582,-0.141846,-0.093994,-3.328125,3.207031,-0.968750,5250,-260,-1953,-153,7648,7651,8280,8155,0.000000,0.000000,0.000000,-0.383789
2252,-2492,-29,-12152,629,-2011,-263,0.001343,-0.001343,-1.370360,0.187500,-0.477051,-0.070068,-3.328125,3.207031,-0.968750,5250,-244,-1721,-139,7586,7603,8385,8288,0.000000,0.000000,0.000000,-0.383789
2253,1490,2013,-14637,-448,-1102,-41,0.001221,-0.001831,-1.370360,-0.075439,-0.255127,-0.015869,-3.328125,3.207031,-0.968750,5250,-96,-1857,-133,7547,7523,8508,8345,0.000000,0.000000,0.000000,-0.383789
2254,1294,1903,-11412,-1227,-826,-128,0.000671,-0.002197,-1.370420,-0.265625,-0.187744,-0.037109,-3.328125,3.207031,-0.968750,5250,29,-1904,-124,7520,7457,8567,8463,0.000001,0.000000,0.000000,-0.383789
2255,-19,-268,-9705,-1083,-1700,-130,0.000183,-0.002930,-1.370540,-0.230469,-0.401123,-0.037598,-3.328125,3.207031,-0.968750,5250,36,-1770,-114,7492,7447,8700,8567,0.000001,0.000001,0.000000,-0.383789
2256,1412,-1783,-11059,-405,-1830,30,0.000061,-0.003784,-1.370540,-0.064941,-0.432861,0.001465,-3.328125,3.207031,-0.968750,5250,-39,-1756,-111,7387,7362,8757,8655,0.000001,0.000001,0.000244,-0.383789
2257,2071,-1671,-9236,416,-1237,222,0.000366,-0.004334,-1.370432,0.135498,-0.288086,0.048340,-3.328125,3.207031,-0.968750,5250,-154,-1868,-118,7353,7330,8882,8710,0.000002,0.000001,0.000244,-0.383789
2258,-583,-795,-6285,747,-1272,23,0.000793,-0.004883,-1.370432,0.216309,-0.296631,-0.000244,-3.328125,3.207031,-0.968750,5250,-215,-1891,-118,7267,7271,8967,8736,0.000002,0.000001,0.000000,-0.383789
2259,-3419,-605,-9207,1102,-2948,-165,0.001465,-0.006287,-1.370432,0.302979,-0.705811,-0.046143,-3.328125,3.207031,-0.968750,5250,-290,-1636,-109,7220,7189,9059,8796,0.000003,0.000001,0.000000,-0.383789
2260,-838,644,-11939,431,-3992,-289,0.001709,-0.008240,-1.370612,0.139160,-0.960693,-0.076416,-3.328125,3.207031,-0.968750,5250,-216,-1459,-93,7164,7167,9129,8866,0.000004,0.000002,0.000000,-0.383789
2261,1650,2139,-14734,-187,-3657,-278,0.001709,-0.009949,-1.370744,-0.011719,-0.878906,-0.073730,-3.328125,3.207031,-0.968750,5250,-135,-1498,-77,7104,7096,9171,8896,0.000006,0.000002,0.000000,-0.383789
2262,2255,1625,-10513,-1187,-3650,-78,0.001160,-0.011597,-1.370803,-0.255859,-0.877197,-0.024902,-3.328125,3.207031,-0.968750,5250,19,-1493,-68,7098,7083,9199,8905,0.000007,0.000002,0.000000,-0.383789
2263,961,-175,-9485,-1168,-4335,-6,0.000610,-0.013550,-1.370911,-0.251221,-1.044434,-0.007324,-3.328125,3.207031,-0.968750,5250,43,-1379,-63,7021,7024,9218,8920,0.000010,0.000003,0.000000,-0.383789
2264,720,-2249,-6681,-496,-4304,-178,0.000427,-0.015565,-1.370971,-0.087158,-1.036865,-0.049316,-3.328125,3.207031,-0.968750,5250,-29,-1385,-50,6998,7004,9254,8934,0.000012,0.000003,0.000244,-0.383789
2265,-1370,-2130,-7680,252,-4936,-348,0.000733,-0.017823,-1.371198,0.095459,-1.191162,-0.090820,-3.328125,3.207031,-0.968750,5250,-131,-1279,-29,6942,6986,9251,8899,0.000016,0.000004,0.000244,-0.383789
2266,-2620,-1166,-8975,889,-6566,-268,0.001221,-0.020937,-1.371318,0.250977,-1.589111,-0.071289,-3.328125,3.207031,-0.968750,5250,-236,-992,-10,6941,6961,9232,8919,0.000020,0.000004,0.000244,-0.383789
2267,-260,683,-11567,592,-7458,-65,0.001588,-0.024600,-1.371353,0.178467,-1.806885,-0.021729,-3.328125,3.207031,-0.968750,5250,-214,-804,0,6935,6959,9222,8911,0.000024,0.000005,0.000244,-0.383789
2268,1559,780,-13638,394,-7042,-250,0.001832,-0.027836,-1.371473,0.130127,-1.705322,-0.066895,-3.328125,3.207031,-0.968750,5251,-203,-826,20,6918,6962,9212,8870,0.000030,0.000005,0.000244,-0.383789
2269,250,175,-10145,-19,-7403,-274,0.001893,-0.031377,-1.371640,0.029297,-1.793457,-0.072754,-3.328125,3.207031,-0.968750,5251,-152,-729,41,6924,6967,9180,8837,0.000037,0.000006,0.000244,-0.383789
2270,364,1141,-9715,-43,-7693,115,0.001893,-0.035041,-1.371568,0.023438,-1.864258,0.022217,-3.328125,3.207031,-0.968750,5251,-149,-652,45,6937,6999,9132,8810,0.000045,0.000007,0.000244,-0.383789
2271,1869,841,-9016,-479,-7072,183,0.001710,-0.038339,-1.371472,-0.083008,-1.712646,0.038818,-3.328125,3.207031,-0.968750,5252,-81,-735,45,6945,7056,9056,8780,0.000054,0.000008,0.000244,-0.383789
2272,-2302,-766,-8417,-302,-8014,-187,0.001649,-0.042066,-1.371568,-0.039795,-1.942627,-0.051514,-3.328125,3.207031,-0.968750,5252,-98,-566,60,6955,7082,8996,8707,0.000064,0.000009,0.000244,-0.383789
2273,-2794,-1551,-10406,353,-9642,-98,0.001955,-0.046770,-1.371711,0.120117,-2.340088,-0.029785,-3.328125,3.207031,-0.968750,5253,-189,-266,70,6988,7164,8981,8670,0.000076,0.000009,0.000244,-0.383789
2274,693,-578,-12942,621,-9158,165,0.002322,-0.051048,-1.371675,0.185547,-2.221924,0.034424,-3.328125,3.207031,-0.968750,5254,-236,-302,69,7043,7176,8899,8587,0.000090,0.000010,0.000244,-0.383789
2275,1884,-24,-8734,477,-8360,-26,0.002628,-0.055204,-1.371699,0.150391,-2.027100,-0.012207,-3.328125,3.207031,-0.968750,5254,-229,-401,76,7067,7240,8838,8552,0.000106,0.000012,0.000000,-0.383789
2276,-1645,195,-6993,383,-9422,-146,0.002812,-0.059544,-1.371770,0.127441,-2.286377,-0.041504,-3.328125,3.207031,-0.968750,5255,-227,-206,88,7085,7267,8796,8506,0.000124,0.000013,0.000000,-0.383789
2277,66,-39,-12277,276,-9631,26,0.002997,-0.064131,-1.371770,0.101318,-2.337402,0.000488,-3.328125,3.207031,-0.968750,5256,-219,-147,93,7146,7353,8730,8458,0.000144,0.000014,0.000000,-0.383789
